category,word
profanity,mierda
profanity,bolas
profanity,bastardo
profanity,beaver
profanity,bint
profanity,bitch
profanity,sangriento
profanity,digo
profanity,mentira
profanity,pata
profanity,insulto
profanity,dick
profanity,fanny
profanity,alerones
profanity,fuck
profanity,cabezal
profanity,insultado
profanity,kg
profanity,rapaces
sexual,ho
sexual,jong
sexual,phalacrocorax
sexual,escoria
sexual,prostituta
sexual,tarta
disablist,explotar
disablist,div
disablist,dong
disablist,groening
disablist,psycho
disablist,freak
disablist,inválido
disablist,mental
disablist,loco
disablist,chiste
ageist,cougar
ageist,pediátrica
threat,barney
threat,desguace
anti-lgbt,bender
anti-lgbt,dyke
anti-lgbt,homo
anti-lgbt,nancy
anti-lgbt,queer
racist,coloreados
racist,garfield
racist,rockabilly
racist,afroamericano
racist,despectivo
racist,judo
racist,ladera
racist,afilado
